b/y Value	Cost
1.4503		8931.6164
1.4504		8931.7782
1.4505		8931.94
1.4506		8932.1018
1.4507		8932.2636
1.4508		8932.4254
1.4509		8932.5872
1.451		8932.749
1.4511		8932.9108
1.4512		8933.0726
1.4513		8933.2344
1.4514		8933.3962
1.4515		8933.558
1.4516		8933.7198
1.4517		8933.8816
1.4518		8934.0434
1.4519		8934.2053
1.452		8934.3671
1.4521		8934.5289
1.4522		8934.6907
1.4523		8934.8525
1.4524		8935.0143
1.4525		8935.1761
1.4526		8935.3379
1.4527		8935.4997
1.4528		8935.6615
1.4529		8935.8233
1.453		8935.9851
1.4531		8936.1469
1.4532		8936.3087
1.4533		8936.4705
1.4534		8936.6323
1.4535		8936.7941
1.4536		8936.9559
1.4537		8937.1177
1.4538		8937.2795
1.4539		8937.4413
1.454		8937.6031
1.4541		8937.7649
1.4542		8937.9267
1.4543		8938.0885
1.4544		8938.2503
1.4545		8938.4122
1.4546		8938.574
1.4547		8938.7358
1.4548		8938.8976
1.4549		8939.0594
1.455		8939.2212
1.4551		8939.383
1.4552		8939.5448
1.4553		8939.7066
1.4554		8939.8684
1.4555		8940.0302
1.4556		8940.192
1.4557		8940.3538
1.4558		8940.5156
1.4559		8940.6774
1.456		8940.8392
1.4561		8941.0415
1.4562		8941.2033
1.4563		8941.3651
1.4564		8941.5269
1.4565		8941.6887
1.4566		8941.8505
1.4567		8942.0123
1.4568		8942.1741
1.4569		8942.3359
1.457		8942.4977
1.4571		8942.6595
1.4572		8942.8213
1.4573		8942.9831
1.4574		8943.1449
1.4575		8943.3067
1.4576		8943.4685
1.4577		8943.6303
1.4578		8943.7921
1.4579		8943.9539
1.458		8944.1157
1.4581		8944.2775
1.4582		8944.4393
1.4583		8944.6011
1.4584		8944.763
1.4585		8944.9248
1.4586		8945.0866
1.4587		8945.2484
1.4588		8945.4102
1.4589		8945.572
1.459		8945.7338
1.4591		8945.8956
1.4592		8946.0574
1.4593		8946.2192
1.4594		8946.381
1.4595		8946.5428
1.4596		8946.7046
1.4597		8946.8664
1.4598		8947.0282
1.4599		8947.19
1.46		8947.3518
1.4601		8947.5136
1.4602		8947.6754
1.4603		8947.8372
1.4604		8947.999
1.4605		8948.1608
1.4606		8948.3226
1.4607		8948.4844
1.4608		8948.6462
1.4609		8948.808
1.461		8948.9699
1.4611		8949.1317
1.4612		8949.2935
1.4613		8949.4553
1.4614		8949.6171
1.4615		8949.7789
1.4616		8949.9407
1.4617		8950.1025
1.4618		8950.2643
1.4619		8950.4261
1.462		8950.5879
1.4621		8950.7497
1.4622		8950.9115
